Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interleukin-2 signaling pathway	76/847	2.3907243665200266E-19	2.2090293146645046E-16	0	0	3.770226021134996	161.6579430005025	CSF1;CLTC;PLEK;INPPL1;LITAF;DUSP14;ICAM1;PREX1;IL18RAP;CASP3;TIMP2;CCR8;CCR5;JAK3;TNFRSF4;CCR2;CTSB;IL10;SRGN;IL1R1;TRAFD1;TNFRSF1B;ADAM19;MAPKAPK3;IFNG;MAPKAPK2;WDFY1;ADAM8;S100A4;LCP2;IRF5;MAPRE2;ARF6;CLDND1;AHNAK;HPN;RRBP1;GATA3;IL2RG;PLAC8;PPP1R2;NFIL3;CCL5;INPP5D;BAG1;CCL4;CCL3;PTK2B;FLNB;ZSWIM6;FYN;SLC25A20;KLRC1;IL12RB1;S100A11;CDR2;IL12RB2;LYN;CCR1;GALNT3;SLC35E1;TXNRD1;NKG7;PTPN11;PRRC2B;EHD1;CD2;EVI2A;THEMIS2;ID2;BHLHE40;GRB2;MYO1F;IL18R1;BCL2L1;PTPN3
T cell receptor regulation of apoptosis	52/603	8.054356173511695E-13	3.721112552162403E-10	0	0	3.4809579174228675	96.93560357557976	CD3G;ITGAL;CD3E;IL27RA;SEC61A1;PSTPIP1;LGALS1;CASP3;CCR5;CCR2;CTSB;ACTR3;IL10;ANXA1;IL1R1;TNFRSF18;F2R;SHISA5;TNFRSF1B;RHOC;MAPKAPK3;IFNG;DAD1;S100A6;S100A4;TMBIM6;MAPRE1;EPAS1;GATA3;OAZ1;CHST11;CCL5;PERP;BAG1;CCL4;CCL3;PTK2B;KLRC1;S100A10;CCR1;PLK3;NDFIP1;TGFB1;KLRC2;CDKN2A;TNFRSF9;NFATC1;HSPA2;COX6C;CD2;BCL3;GRAP
Thymic stromal lymphopoietin (TSLP) pathway	19/90	5.935764613611838E-12	1.828215500992446E-9	0	0	9.508592841452383	245.79736518510433	IL10;CCR1;TGFB1;CD82;CSF1;TNFSF14;IL1R1;CD80;PDCD6;TNFRSF9;IL2RG;ICAM1;TNFSF4;CCL4;BCL3;CCL3;CCR5;TNFRSF4;CCR2
Interleukin-12-mediated signaling events	16/65	2.3390379921147602E-11	5.403177761785096E-9	0	0	11.551914196335469	282.77579920999875	MAP2K3;IL1R1;CD3G;TYK2;CD3E;IL2RG;CD4;IL18RAP;IFNG;TBX21;CCL3;CCR5;IL12RB1;B2M;IL18R1;IL12RB2
Interleukin-12/STAT4 pathway	13/45	1.9852271985550646E-10	3.239794590689876E-8	0	0	14.306488203266788	319.60862839812575	TGFB1;CD80;CD3G;TYK2;CD3E;CD4;IL18RAP;IFNG;TBX21;CCR5;IL12RB1;IL18R1;IL12RB2
NO2-dependent IL-12 pathway in NK cells	9/17	2.103762721227192E-10	3.239794590689876E-8	0	0	39.38108108108108	877.4941089241062	CD2;CD4;IFNG;CD3G;TYK2;CD3E;CCR5;IL12RB1;IL12RB2
Cytokine-cytokine receptor interaction	29/265	4.911855347082618E-10	6.483649058149056E-8	0	0	4.40994772691272	94.5236979891367	CSF1;CXCR6;IL2RG;IL18RAP;CCL5;CCL4;CCL3;TNFSF11;CCR8;CCL1;CCR5;IL12RB1;TNFRSF4;CCR2;IL12RB2;CCR1;IL10;TGFB1;TNFSF14;IL1R1;TNFRSF9;TNFRSF18;TNFRSF1B;IFNG;TNFSF4;TNFSF9;PLEKHO2;IL18R1;CRLF2
Selective expression of chemokine receptors during T-cell polarization	10/26	1.0391758958334624E-9	1.200248159687649E-7	0	0	21.90884476534296	453.180901359192	CCR1;CD4;TGFB1;IFNG;CCL4;CCL3;CCR5;IL12RB1;IL18R1;IL12RB2
Interleukin-27-mediated signaling events	9/26	2.1547541698292683E-8	2.2122142810247154E-6	0	0	18.52368839427663	326.9987471940495	TGFB1;IFNG;TBX21;EBI3;GATA3;TYK2;IL12RB1;IL27RA;IL12RB2
Immune system	58/998	1.4790437367955357E-7	1.3666364127990751E-5	0	0	2.2554200655958287	35.470314510584444	ARF1;CD80;CLTC;INPPL1;CLTA;RNF19B;CD3G;ITGAL;CD3E;ICAM1;EEA1;LGALS3;SEC61A1;PSTPIP1;PSMD4;PPP2R1A;JAK3;B2M;CCR2;CTSB;MAP2K3;IL1R1;PDCD1LG2;TYK2;ZAP70;ADAM17;MAPKAPK3;IFNG;MAPKAPK2;RAPGEF1;LCP2;IRF5;EIF4E2;HCST;CD44;UBA7;DCTN3;ITPR1;IL2RG;RAP1B;INPP5D;PTK2B;FLNB;FYN;KLRC1;ICOS;LYN;PTPN11;ISG20;CD4;MDM2;GRB2;PDCD1;CALR;PIK3AP1;SEC24D;ASB2;BCL2L1
T helper cell surface molecules	6/13	7.099141445833674E-7	5.697976690392621E-5	0	0	29.84485407066052	422.5470789563951	CD2;CD4;CD3G;CD3E;ITGAL;ICAM1
Costimulation by the CD28 family	12/72	7.399969727782625E-7	5.697976690392621E-5	0	0	7.0202898550724635	99.10276235984732	LYN;CD4;PPP2R1A;CD80;CD3G;FYN;PTPN11;GRB2;PDCD1LG2;PDCD1;CD3E;ICOS
Interleukin-3, interleukin-5, and GM-CSF signaling	9/45	3.789758577954359E-6	2.6936437892537135E-4	0	0	8.73873873873874	109.087495436285	LYN;INPP5D;INPPL1;RAPGEF1;FYN;PTPN11;GRB2;IL2RG;JAK3
Signaling by NGF	20/221	4.8988626499135066E-6	3.2332493489429143E-4	0	0	3.518254316652034	43.01596276149201	PRDM4;CLTC;ITPR1;PSEN2;CLTA;PSEN1;PREX1;ABR;NCSTN;ADAM17;MAPKAPK3;ADORA2A;PPP2R1A;PRKAR1A;CASP3;MAPKAPK2;RAPGEF1;MDM2;GRB2;ARHGEF6
TWEAK regulation of gene expression	7/27	7.425932811978176E-6	4.574374612178556E-4	0	0	12.20035906642729	144.0927342146873	CCL5;CCL3;TNFSF11;MMP9;RUNX2;ICAM1;BCL2L1
Signaling events mediated by hepatocyte growth factor receptor (c-Met)	11/79	1.2960586126264058E-5	7.348093746671869E-4	0	0	5.665567492819913	63.75801697932438	RAP1B;PXN;INPPL1;NCK2;RAPGEF1;PTPN11;GRB2;RIN2;MUC20;F2RL2;ARF6
Leptin influence on immune response	13/110	1.3519220096690668E-5	7.348093746671869E-4	0	0	4.703856156566318	52.73680432528276	CCR1;CPT1A;CD80;CD3E;MMP9;BATF;CD4;IFNG;CCL5;CCRL2;CCL4;TNFSF11;CCR2
