Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell cycle	126/453	2.3767800568180285E-103	1.2192881691476486E-100	0	0	22.50790552410697	5318.629732731513	ERCC6L;NUP107;ZWILCH;GMNN;HJURP;CCP110;BUB1B;CDC20;PSMD7;PSMD2;CHEK2;CHEK1;NEK2;OIP5;KNTC1;FBXO5;HIST1H2AC;HIST1H2AB;LIG1;HIST1H2AJ;CDC25C;CCNE2;CCNE1;ANAPC5;HIST1H2BH;DNA2;KIF20A;HIST1H2BB;HIST1H2BC;PSMD13;CDCA8;PKMYT1;PMF1;SKA1;SKA2;CCNB2;CCNB1;CLSPN;UBE2C;PLK1;CDC7;CDC6;NDC80;DHFR;POLA1;HIST1H4A;POLA2;KIF18A;CDK2;CDK1;TOP2A;YWHAE;FEN1;MCM7;MCM8;YWHAB;MCM10;BRCA1;HIST2H2AC;CKS1B;XPO1;MIS18BP1;NUF2;MYBL2;SPDL1;POLE;RFC5;RFC4;RFC2;H2AFX;RANGAP1;SMC1A;TUBG1;CKAP5;CCNA2;TFDP1;RBL1;ESPL1;INCENP;MCM3;BIRC5;MCM4;MCM5;KIF2C;MCM6;MCM2;HIST1H2BN;PRIM2;HIST1H2BM;PCNA;HIST1H2BJ;PRIM1;HIST1H2BL;HIST1H2BK;TTK;LIN9;TYMS;NSL1;AURKB;AURKA;FZR1;CDC45;POLD1;E2F1;RBBP7;BUB3;BUB1;GINS1;GINS2;CDKN2C;RRM2;NDE1;RPA2;TUBB4B;CENPE;NEDD1;CENPF;WEE1;CENPH;CENPI;CENPM;CENPN;CENPP;SPC24;MAD2L1;SPC25
DNA replication	75/207	3.553614551877637E-70	9.11502132556614E-68	0	0	29.026614832535884	4641.732803455684	FEN1;ERCC6L;NUP107;MCM7;ZWILCH;MCM8;GMNN;BUB1B;MCM10;CDC20;PSMD7;XPO1;PSMD2;NUF2;KNTC1;FBXO5;SPDL1;POLE;RFC5;RFC4;LIG1;RFC2;RANGAP1;SMC1A;CKAP5;CCNA2;INCENP;MCM3;BIRC5;MCM4;KIF2C;MCM5;DNA2;KIF20A;MCM6;MCM2;PRIM2;RNASEH2B;PCNA;PSMD13;PRIM1;CDCA8;PMF1;SKA1;AURKB;NSL1;SKA2;FZR1;CDC45;POLD1;E2F1;BUB3;BUB1;GINS1;GINS2;NDE1;PLK1;RPA2;CDC7;CDC6;NDC80;POLA1;CENPE;POLA2;CENPF;KIF18A;CENPH;CENPI;CDK2;CENPM;CENPN;CENPP;SPC24;MAD2L1;SPC25
M phase pathway	39/96	6.011589317608452E-39	1.0279817733110453E-36	0	0	32.05263157894737	2820.8600971474584	ERCC6L;NUP107;ZWILCH;BUB1B;CDCA8;PMF1;AURKB;NSL1;SKA1;SKA2;CDC20;XPO1;NUF2;KNTC1;FBXO5;SPDL1;BUB3;BUB1;NDE1;PLK1;RANGAP1;SMC1A;CKAP5;NDC80;CENPE;CENPF;KIF18A;CENPH;INCENP;CENPI;BIRC5;CENPM;KIF2C;CENPN;KIF20A;CENPP;SPC24;MAD2L1;SPC25
Chromosome maintenance	38/103	4.663385823040598E-36	5.980792318049567E-34	0	0	27.31009038922708	2221.766566141527	HIST1H2BN;HIST1H2BM;PRIM2;FEN1;PCNA;HIST1H2BJ;HIST1H2BL;PRIM1;HIST1H2BK;HJURP;BRCA1;HIST2H2AC;MIS18BP1;POLD1;OIP5;RBBP7;POLE;HIST1H2AC;HIST1H2AB;RFC5;RFC4;LIG1;RFC2;HIST1H2AJ;H2AFX;RPA2;SMC1A;POLA1;HIST1H4A;POLA2;CENPH;CENPI;HIST1H2BH;CENPN;DNA2;HIST1H2BB;CENPP;HIST1H2BC
Mitotic G1-G1/S phases	41/135	7.555091266589049E-35	7.751523639520364E-33	0	0	20.492625141330045	1610.0698300782135	TOP2A;PRIM2;PCNA;MCM7;PSMD13;MCM8;PRIM1;MCM10;LIN9;PKMYT1;TYMS;CKS1B;CCNB1;PSMD7;CDC45;PSMD2;E2F1;MYBL2;FBXO5;POLE;CDKN2C;RRM2;RPA2;CDC7;CDC6;DHFR;CCNA2;POLA1;POLA2;WEE1;RBL1;TFDP1;CCNE2;CCNE1;CDK2;CDK1;MCM3;MCM4;MCM5;MCM6;MCM2
DNA strand elongation	23/31	6.218336925828202E-32	5.316678071583113E-30	0	0	130.0205439814815	9342.65485472907	GINS1;RFC5;PRIM2;GINS2;FEN1;PCNA;RFC4;MCM7;LIG1;MCM8;RFC2;PRIM1;RPA2;POLA1;POLA2;CDC45;POLD1;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2
Systemic lupus erythematosus	39/139	1.0458015065452726E-31	7.664231040824642E-30	0	0	18.2296875	1300.421216581252	HIST1H2BN;HIST1H2BM;HIST1H2BJ;HIST1H2BL;HIST1H2BK;HIST2H2AC;HIST1H3A;HIST1H2AE;HIST1H3F;HIST1H3G;HIST1H2AG;HIST1H3H;HIST1H3I;HIST1H3B;HIST1H3C;HIST1H2AC;HIST1H3D;HIST1H2AB;HIST1H3E;HIST1H2AI;HIST1H4K;HIST1H2AH;HIST1H2AK;HIST1H2AJ;H2AFX;HIST1H4A;HIST1H4B;HIST4H4;HIST1H2BF;HIST1H2BE;HIST1H4H;HIST1H2BH;HIST1H2BG;HIST1H4J;HIST1H2BB;HIST1H4C;HIST1H4D;HIST1H2BC;HIST1H4F
Telomere maintenance	28/59	1.2483905178415194E-30	8.005304195658743E-29	0	0	41.27763088313062	2842.2000719574953	HIST1H2BN;HIST1H2BM;PRIM2;FEN1;PCNA;HIST1H2BJ;HIST1H2BL;PRIM1;HIST1H2BK;HIST2H2AC;POLD1;POLE;HIST1H2AC;HIST1H2AB;RFC5;RFC4;LIG1;RFC2;H2AFX;HIST1H2AJ;RPA2;POLA1;HIST1H4A;POLA2;HIST1H2BH;DNA2;HIST1H2BB;HIST1H2BC
S phase	35/112	2.243263532851901E-30	1.2786602137255837E-28	0	0	21.06926406926407	1438.3906738098715	PRIM2;FEN1;PCNA;MCM7;PSMD13;MCM8;PRIM1;CKS1B;FZR1;PSMD7;CDC45;PSMD2;POLD1;POLE;RFC5;GINS1;GINS2;RFC4;LIG1;RFC2;RPA2;CDC6;CCNA2;POLA1;POLA2;WEE1;CCNE2;CCNE1;CDK2;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2
Cell cycle checkpoints	35/117	1.2420977679309363E-29	6.371961549485703E-28	0	0	19.77947154471545	1316.485350431294	MCM7;PSMD13;MCM8;BUB1B;MCM10;CDC20;CCNB2;CCNB1;PSMD7;CDC45;CHEK2;PSMD2;CHEK1;CLSPN;BUB3;RFC5;RFC4;UBE2C;RFC2;RPA2;CDC7;CDC6;CDC25C;WEE1;CCNE2;CCNE1;CDK2;CDK1;MCM3;MCM4;ANAPC5;MCM5;MCM6;MCM2;MAD2L1
