Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon signaling	19/168	9.869078008703903E-15	3.86867857941193E-12	0	0	13.468788338024103	434.3599380168997	GBP6;GBP5;SP100;GBP7;DDX58;MX2;STAT2;MX1;ADAR;IFIT1;USP18;IFIT3;IFIT2;OAS2;IRF2;IRF7;XAF1;IRF9;GBP4
Interferon alpha/beta signaling	13/64	7.802633532215615E-14	1.5293161723142603E-11	0	0	26.212418300653596	791.1361316105102	MX2;STAT2;MX1;ADAR;IFIT1;USP18;IFIT3;IFIT2;OAS2;IRF2;IRF7;XAF1;IRF9
Immune system signaling by interferons, interleukins, prolactin, and growth hormones	20/280	1.1330572027086265E-11	1.4805280782059385E-9	0	0	8.122661122661123	204.7196240702473	GBP6;GBP5;SP100;GBP7;DDX58;STAT2;MX2;MX1;ADAR;NOD1;IFIT1;USP18;IFIT3;IFIT2;OAS2;IRF2;IRF7;XAF1;IRF9;GBP4
Immune system	31/998	3.391354320092564E-8	3.323527233690712E-6	0	0	3.468887066291053	59.66295450143726	SP100;NLRX1;ITGB2;ITPR2;ADAR;NOD1;IFIT1;USP18;IFIT3;IFIT2;IFIH1;HERC2;KIF3B;DHX58;TRIM21;GBP4;GBP6;ZBP1;GBP5;GBP7;DDX58;STAT2;MX2;MX1;OAS2;IRF2;IRF7;CD226;XAF1;SIPA1;IRF9
Interferon-gamma signaling pathway	9/97	6.870282325985601E-7	5.386301343572712E-5	0	0	10.283105287569573	145.9264206225683	GBP6;GBP5;SP100;GBP7;OAS2;IRF2;IRF7;IRF9;GBP4
RIG-I/MDA5-mediated induction of interferon-alpha/beta pathways	6/76	1.2974785777856358E-4	0.00847686004153282	0	0	8.49605168700646	76.03896206893005	IFIH1;NLRX1;DDX58;DHX58;IRF2;IRF7
TRAF6-mediated IRF7 activation	4/30	2.3835873976966454E-4	0.011679578248713563	0	0	15.131266743207041	126.22099785452005	IFIH1;DDX58;IRF2;IRF7
Interferon-beta enhancer pathway	4/30	2.3835873976966454E-4	0.011679578248713563	0	0	15.131266743207041	126.22099785452005	SMARCC2;IRF2;IRF7;ARID1A
TRAF3-dependent IRF activation pathway	3/14	3.5538432879943775E-4	0.015478961876597733	0	0	26.711071107110712	212.14762687104584	IFIH1;DDX58;IRF7
Antiviral mechanism by interferon-stimulated genes	5/70	7.597330310052281E-4	0.02888578538354956	0	0	7.588461538461538	54.50445480507527	DDX58;MX2;MX1;IFIT1;USP18
RIG-I-like receptor signaling pathway	5/71	8.1057050821185E-4	0.02888578538354956	0	0	7.47310606060606	53.19186676833066	IFIH1;NLRX1;DDX58;DHX58;IRF7
Type II interferon signaling (interferon-gamma)	4/50	0.0017074182405749426	0.05577566252544812	0	0	8.54380272550292	54.447714046538756	STAT2;IRF2;IRF9;IFIT2
Post-transcriptional silencing by small RNAs	2/7	0.0021224428462349185	0.06399981505569909	0	0	38.995073891625616	240.02199401967724	AGO3;TNRC6A
