Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TNF-alpha Signaling via NF-kB	36/200	7.6565283654503E-17	3.751698899070647E-15	0	0	6.734634146341463	249.91141637395924	CSF2;B4GALT1;SDC4;IRS2;RELA;ETS2;SLC16A6;PDE4B;PMEPA1;DENND5A;STAT5A;DUSP4;KDM6B;TGIF1;DUSP5;SMAD3;GCH1;TIPARP;GEM;NFKB1;PNRC1;FOSL2;EIF1;YRDC;KLF6;NR4A3;BCL6;TNIP1;CLCF1;NINJ1;REL;CD69;SGK1;MXD1;SQSTM1;BIRC2
Unfolded Protein Response	15/113	4.7220619863520955E-6	1.1569051866562634E-4	0	0	4.558902508371769	55.90702953398595	ZBTB17;XBP1;HSPA5;EDEM1;EIF2AK3;HSP90B1;HERPUD1;ERN1;TATDN2;SERP1;KIF5B;CNOT2;NABP1;ATP6V0D1;SEC31A
UV Response Dn	16/144	2.297697739943812E-5	3.7529063085748926E-4	0	0	3.723062015503876	39.76609175484802	PHF3;ABCC1;SMAD3;CDKN1B;INSIG1;ITGB3;DYRK1A;NR1D2;SRI;NR3C1;SLC7A1;NFKB1;SMAD7;SIPA1L1;KIT;TOGARAM1
TGF-beta Signaling	9/54	6.26198394924909E-5	7.670930337830134E-4	0	0	5.91840490797546	57.28085817522785	TGIF1;PPM1A;BMPR2;SMAD3;SLC20A1;PMEPA1;FURIN;SKIL;SMAD7
Hypoxia	17/200	3.6416423157252346E-4	0.002974007891175608	0	0	2.7632284560295965	21.87898208387783	ERRFI1;CDKN1B;MAP3K1;SDC4;HSPA5;TIPARP;CXCR4;IRS2;KLHL24;RBPJ;NR3C1;PNRC1;FOSL2;KLF6;MXI1;GCNT2;PIM1
Inflammatory Response	17/200	3.6416423157252346E-4	0.002974007891175608	0	0	2.7632284560295965	21.87898208387783	GCH1;ITGB3;RHOG;SRI;SLC7A1;RELA;NFKB1;PIK3R5;GPR132;KLF6;SELENOS;IRAK2;STAB1;PDE4B;CD69;MXD1;IFNAR1
Androgen Response	11/100	4.6513431193121E-4	0.00325594018351847	0	0	3.6603284356093346	28.08637487244741	RAB4A;UBE2I;B4GALT1;ELOVL5;INSIG1;PMEPA1;UAP1;ITGAV;SGK1;SLC38A2;UBE2J1
Apoptosis	14/161	9.367630544137733E-4	0.005737673708284361	0	0	2.8250533598292487	19.699323603667693	CDKN1B;GPX4;ROCK1;GCH1;IFNGR1;SLC20A1;RELA;SMAD7;BCL2L11;MADD;LMNA;PMAIP1;CD69;SQSTM1
IL-6/JAK/STAT3 Signaling	9/87	0.002302659103677892	0.012536699564468524	0	0	3.4086243511090135	20.702929993238875	CSF2;IFNGR1;ITGB3;STAT3;PIM1;STAM2;PTPN2;IFNAR1;PIK3R5
Adipogenesis	15/200	0.002741887784032339	0.013435250141758464	0	0	2.4040666053049953	14.181850042919283	STAT5A;DGAT1;GPX4;CHUK;FZD4;IFNGR1;ATL2;GHITM;ADIPOR2;TOB1;BCL6;UBC;NABP1;PIM3;DLD
IL-2/STAT5 Signaling	14/199	0.006540136496969298	0.027872942134861696	0	0	2.240327499060111	11.268393077371028	XBP1;CSF2;BMPR2;GPX4;IFNGR1;ODC1;FURIN;HOPX;KLF6;PIM1;CTLA4;DENND5A;ITGAV;MXD1
mTORC1 Signaling	14/200	0.006826026645272253	0.027872942134861696	0	0	2.2281663924481894	11.11189370694098	XBP1;HSPA5;GOT1;ELOVL5;EDEM1;INSIG1;CXCR4;EIF2S2;ADIPOR2;SYTL2;HSP90B1;TBK1;SERP1;SQSTM1
Protein Secretion	8/96	0.014168939355713728	0.05182099647750325	0	0	2.680077961854378	11.408296113465054	RAB2A;NAPA;GALC;STX12;AP3B1;VAMP4;RAB5A;SEC31A
Complement	13/200	0.0158635703502561	0.05182099647750325	0	0	2.0546642899584078	8.513973999565795	DUSP5;USP8;USP16;HSPA5;RHOG;CBLB;RNF4;PIK3R5;PDP1;ZEB1;PIK3CA;PIM1;ADAM9
p53 Pathway	13/200	0.0158635703502561	0.05182099647750325	0	0	2.0546642899584078	8.513973999565795	CCNK;GLS2;DNTTIP2;TGFA;SLC3A2;BAIAP2;BLCAP;TOB1;TRAF4;SESN1;NINJ1;COQ8A;MXD1
Reactive Oxygen Species Pathway	5/49	0.022369730153495523	0.06850729859508004	0	0	3.3423988359201773	12.701271220069547	ABCC1;GPX4;SELENOS;FES;PRDX6
Mitotic Spindle	12/199	0.03319899427629041	0.09569121879636647	0	0	1.893690828341422	6.448463606616055	BCR;AKAP13;CYTH2;BCL2L11;ROCK1;KIF5B;KATNA1;CDC27;RICTOR;WASL;EZR;WASF2
G2-M Checkpoint	11/200	0.0688044023393466	0.1774429323488412	0	0	1.7146927146927147	4.589353700549237	SS18;SFPQ;CDKN1B;SMAD3;CCNT1;KIF5B;KATNA1;CDC27;ODC1;NUP98;SLC7A1
Estrogen Response Early	11/200	0.0688044023393466	0.1774429323488412	0	0	1.7146927146927147	4.589353700549237	XBP1;ELF1;B4GALT1;TIPARP;ELOVL5;AMFR;NRIP1;PMAIP1;TOB1;AFF1;MED13L
Fatty Acid Metabolism	9/158	0.07927925239457274	0.1849849222540031	0	0	1.777802939844361	4.506337236170559	AUH;ELOVL5;ODC1;SERINC1;HCCS;GLUL;ADIPOR2;PRDX6;DLD
UV Response Up	9/158	0.07927925239457274	0.1849849222540031	0	0	1.777802939844361	4.506337236170559	BCL2L11;EIF5;DGAT1;POLG2;GCH1;AGO2;FURIN;SQSTM1;GLS
Interferon Gamma Response	10/200	0.12755775968147437	0.25001320897568974	0	0	1.5481445549357264	3.1879175932759005	LATS2;GCH1;STAT3;STAT4;PIM1;PDE4B;CD69;SRI;NFKB1;PTPN2
Glycolysis	10/200	0.12755775968147437	0.25001320897568974	0	0	1.5481445549357264	3.1879175932759005	B4GALT1;HOMER1;GOT1;HSPA5;MXI1;TGFA;CXCR4;IRS2;BPNT1;DLD
heme Metabolism	10/200	0.12755775968147437	0.25001320897568974	0	0	1.5481445549357264	3.1879175932759005	SDCBP;GYPC;CDC27;MXI1;CIR1;FBXO34;NR3C1;KDM7A;SIDT2;PICALM
KRAS Signaling Up	10/200	0.12755775968147437	0.25001320897568974	0	0	1.5481445549357264	3.1879175932759005	YRDC;MTMR10;MAP3K1;TMEM158;CSF2;TSPAN13;GYPC;MMD;CXCR4;AVL9
PI3K/AKT/mTOR  Signaling	6/105	0.13455817191549116	0.2535904009176564	0	0	1.7802452000925284	3.570742242133378	TBK1;CDKN1B;ARPC3;CXCR4;SQSTM1;HSP90B1
Estrogen Response Late	8/200	0.3420811035489982	0.6208138545889227	0	0	1.2217330270546196	1.3105620896771466	XBP1;TSPAN13;ELOVL5;AMFR;NRIP1;SGK1;TOB1;AFF1
DNA Repair	6/150	0.3763865808534493	0.6586765164935362	0	0	1.2210559796437659	1.1931408366925125	SDCBP;GPX4;CLP1;DCTN4;PDE4B;VPS37B
Wnt-beta Catenin Signaling	2/42	0.4064339730023453	0.6867332647281007	0	0	1.4642640364188164	1.318326391264319	MAML1;RBPJ
Apical Surface	2/44	0.42947740844038373	0.7014797671192934	0	0	1.3943926584290773	1.178521346689918	B4GALT1;ADIPOR2
Apical Junction	6/200	0.651720696736079	0.8847262050992332	0	0	0.9039899268119934	0.3870335132934691	B4GALT1;ITGA3;INSIG1;ADAM9;WASL;BAIAP2
Oxidative Phosphorylation	6/200	0.651720696736079	0.8847262050992332	0	0	0.9039899268119934	0.3870335132934691	PDP1;SLC25A3;MTRR;GPX4;HCCS;DLD
Notch Signaling	1/32	0.6591517010175146	0.8847262050992332	0	0	0.9436950146627566	0.3933335657497587	FBXW11
Pperoxisome	3/104	0.6726711751903955	0.8847262050992332	0	0	0.8684281802040387	0.3443306134876741	SLC23A2;ELOVL5;CNBP
Coagulation	4/138	0.6730969523303784	0.8847262050992332	0	0	0.8725777505168223	0.34542377634226273	ARF4;ITGB3;ADAM9;FURIN
Hedgehog Signaling	1/36	0.7020949769238002	0.8847262050992332	0	0	0.8356709956709957	0.29556562427307115	ETS2
Angiogenesis	1/36	0.7020949769238002	0.8847262050992332	0	0	0.8356709956709957	0.29556562427307115	ITGAV
Cholesterol Homeostasis	2/74	0.7070760150911447	0.8847262050992332	0	0	0.8121311751812511	0.2814985536184731	ERRFI1;PNRC1
Bile Acid Metabolism	3/112	0.720466512515944	0.8847262050992332	0	0	0.8043557067566437	0.2637131202798867	PEX16;SLC23A2;PNPLA8
Pancreas Beta Cells	1/40	0.7396349706123451	0.8847262050992332	0	0	0.7498057498057498	0.2261402875164915	FOXO1
Epithelial Mesenchymal Transition	5/200	0.794448020905434	0.8847262050992332	0	0	0.7482801751094434	0.1721850441187675	SDC4;ITGB3;PMEPA1;ITGAV;GEM
Xenobiotic Metabolism	5/200	0.794448020905434	0.8847262050992332	0	0	0.7482801751094434	0.1721850441187675	GCH1;ELOVL5;NINJ1;GCNT2;ETS2
Allograft Rejection	5/200	0.794448020905434	0.8847262050992332	0	0	0.7482801751094434	0.1721850441187675	ITK;IFNGR1;STAB1;STAT4;SOCS5
KRAS Signaling Dn	5/200	0.794448020905434	0.8847262050992332	0	0	0.7482801751094434	0.1721850441187675	MFSD6;IL5;COQ8A;SGK1;SKIL
Interferon Alpha Response	2/97	0.8350274229321314	0.9092520827483208	0	0	0.6147751777014615	0.11083825502147522	NUB1;ELF1
Myc Targets V1	4/200	0.9005413593019472	0.9592723175172917	0	0	0.5946323734973441	0.06229320351028149	SLC25A3;CNBP;ODC1;EIF2S2
Spermatogenesis	2/135	0.9404901766569386	0.9805110352380849	0	0	0.4382580122536995	0.026888914999097676	BRAF;STAM2
E2F Targets	3/200	0.9632121883376538	0.9832791089280215	0	0	0.4430129757918936	0.01660481322545208	CDKN1B;EED;DONSON
Myogenesis	1/200	0.9988332618245365	0.9988332618245365	0	0	0.1457286432160804	1.7012643711350483E-4	MEF2D
