Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T cell receptor regulation of apoptosis	41/603	3.79213198952102E-7	2.9351101598892697E-4	0	0	2.567127662399745	37.95541186586059	CD86;RBM25;BTG1;CD83;TNFAIP3;SLC5A3;FYB;RELB;SH3BGRL;CASP4;TLK2;CASP1;CCR6;ATP6V1E1;MAPK6;JUNB;CREBBP;GADD45B;DUSP1;CYBB;FOS;TRAF1;NR4A2;NFKBIA;CLK1;CXCL10;NR4A1;SON;CD40LG;RAB14;DDIT3;GOLGB1;IRF1;CD28;FOSB;NFKBIE;IL7R;ATF3;ATF4;HSPA1A;BIRC3
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	16/135	1.8105077367227188E-6	5.795345541674901E-4	0	0	4.626552225168142	61.17182583052393	CD83;RIPK2;CD70;IL1R2;TNFAIP3;TRAF1;ETS1;NFKB2;RELB;NFKBIA;CXCL10;CD40LG;IRF1;IL7R;NFKBIE;BIRC3
BDNF signaling pathway	23/261	2.2462579618894967E-6	5.795345541674901E-4	0	0	3.3465931498953374	43.526609935361684	PNISR;BTG1;MAST4;GADD45A;DUSP1;LRBA;PTGER2;FOS;ATP2B1;ITPKB;NR4A2;DNAJA1;NR4A1;RGS2;HNRNPH1;DDIT3;MAFF;FOSB;SRSF5;JUNB;ATF3;HSPA1B;HSPA1A
Interleukin-5 regulation of apoptosis	16/144	4.251612984418096E-6	8.226871124849016E-4	0	0	4.299242424242424	53.173942263854386	GADD45A;FOS;TRAF1;IL17RB;NFKB2;RELB;IL1RL1;RGS2;CASP4;TRA2A;RAF1;NFKBIE;MAPK6;ATF4;NFKBIB;BIRC3
Antigen-activated B-cell receptor generation of second messengers	19/211	1.2449534216135088E-5	0.0019271878966577117	0	0	3.4105156063321385	38.51777442595684	ATF2;NFAT5;SH3KBP1;PRKCD;DAPP1;BCL10;FOS;ETS1;NFKB2;NFKBIA;CD40LG;IGKC;CD28;ORAI1;RAF1;NFKBIE;MAPK6;CD22;NFKBIB
TNF-alpha signaling pathway	12/101	3.415716034011461E-5	0.0044062736838747845	0	0	4.613860992343641	47.45143018221508	NFKBIA;CYLD;CREBBP;TNFAIP3;TRAF1;RAF1;NFKBIE;TANK;NSMAF;NFKB2;NFKBIB;BIRC3
MAPK signaling pathway	23/314	4.530390201654689E-5	0.005009317165829613	0	0	2.7295148064063914	27.300927516754054	ATF2;GADD45B;H3F3B;GADD45A;DUSP1;SRC;IL1R2;PRKCD;FOS;MAPK8IP3;RELB;NFKB2;FGF16;NR4A1;DUSP10;DDIT3;TAOK1;CASP1;RAF1;MAPK6;HSPA1B;ATF4;HSPA1A
RIG-I/MDA5-mediated induction of interferon-alpha/beta pathways	10/76	6.370000200660508E-5	0.005808420260455659	0	0	5.172625728181283	49.9744232491389	NFKBIA;CYLD;CREBBP;IRF1;UBE2D3;TNFAIP3;ISG15;TANK;NFKB2;NFKBIB
Circadian rhythm	9/62	6.753977047041463E-5	0.005808420260455659	0	0	5.790924794047303	55.60905752759502	HELZ2;ATF2;PER1;CREBBP;NCOR1;RORC;RORA;CSNK1E;ARNTL
TNFR2 signaling pathway	5/18	1.2319452797044056E-4	0.0095352564649121	0	0	13.051371705217859	117.48513204582008	NFKBIA;DUSP1;TNFAIP3;TRAF1;TANK
AP-1 transcription factor network	9/70	1.7651968306393268E-4	0.0124205667901349	0	0	5.029381205264373	43.4643055177594	ATF2;MAF;DUSP1;PENK;FOSB;FOS;ETS1;JUNB;ATF3
Interleukin-1 signaling pathway	12/125	2.701489417286424E-4	0.015428502241830127	0	0	3.6294149894275196	29.821222966474213	NFKBIA;ATF2;DUSP1;RIPK2;IL1R2;UBE2D3;CASP1;PELI1;TNFAIP3;FOS;MAPK6;NFKBIB
ATF2 transcription factor network	8/59	2.774982132935673E-4	0.015428502241830127	0	0	5.340501051035528	43.73708043414376	ATF2;DUSP10;DUSP1;GADD45A;DDIT3;FOS;JUNB;ATF3
Interleukin-12/STAT4 pathway	7/45	2.808988371524128E-4	0.015428502241830127	0	0	6.26477377654663	51.23028756594933	CD86;CREBBP;CXCR3;IRF1;CD28;FOS;JAK2
Spliceosome	12/127	3.1304544315492516E-4	0.015428502241830127	0	0	3.565925355906118	28.77403006195687	DDX5;PRPF38B;RBM25;DHX8;SNRNP70;TRA2B;TRA2A;ACIN1;SRSF5;SF3B1;HSPA1B;HSPA1A
TGF-beta signaling pathway	15/185	3.189354468595375E-4	0.015428502241830127	0	0	3.022765333891564	24.334838327408672	PPP1R15A;ATF2;CREBBP;SRC;TFE3;FOS;ETS1;RBL2;ZEB2;FOSB;SIK1;RAF1;MAPK6;JUNB;ATF3
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	7/47	3.7040796080422227E-4	0.016864456568380475	0	0	5.950921052631579	47.017665249539306	CYLD;AIM2;RIPK2;CASP4;CASP1;TNFAIP3;BIRC3
SMAD2/3 nuclear pathway	9/82	5.86088359841186E-4	0.025201799473171	0	0	4.200028940767895	31.256783357529454	ATF2;CEBPB;CREBBP;TGIF2;NCOR1;TFE3;FOS;ATF3;RUNX1
BMAL1-CLOCK/NPAS2 activates circadian expression	6/38	7.066184518582477E-4	0.028123792338439146	0	0	6.3674474605954465	46.19595682771348	HELZ2;PER1;CREBBP;NCOR1;RORA;ARNTL
C-Myb transcription factor network	9/85	7.630486293374963E-4	0.028123792338439146	0	0	4.033612861378799	28.954034642188383	CEBPB;CREBBP;MAF;NCOR1;CBX4;ATP2B1;ETS1;SMARCA2;BIRC3
NOD signaling pathway	9/85	7.630486293374963E-4	0.028123792338439146	0	0	4.033612861378799	28.954034642188383	NFKBIA;CYLD;AIM2;RIPK2;CASP4;CASP1;TNFAIP3;BIRC3;NFKBIB
Messenger RNA processing	15/203	8.439994740528059E-4	0.02969343604167599	0	0	2.7307961686984177	19.326823985677024	RBM39;DHX8;FUS;PRPF4B;CLK4;PTBP2;CLK1;NXF1;POLR2A;HNRNPH1;SNRNP70;TRA2B;SRSF5;SF3B1;SRSF11
RORA activates circadian expression	5/27	9.366047339321865E-4	0.030481339215281286	0	0	7.708598219961856	53.75397642325688	HELZ2;CREBBP;NCOR1;RORA;ARNTL
CD40L signaling pathway	4/16	9.462956041036876E-4	0.030481339215281286	0	0	11.292030250145434	78.62590481182193	NFKBIA;CD40LG;DUSP1;TNFAIP3
Interleukin-6 signaling pathway	8/71	9.845393803385428E-4	0.030481339215281286	0	0	4.320584707227941	29.912862497660814	CEBPB;CREBBP;IRF1;PRKCD;FOS;JAK2;RAF1;JUNB
Innate immune system	20/319	0.0010272175281941093	0.030579475647009254	0	0	2.2965840653765093	15.80256888069775	ATF2;CREBBP;RIPK2;UBE2D3;TNFAIP3;ISG15;FOS;TANK;NFKB2;NFKBIA;CYLD;AIM2;IGKC;IRF1;CASP4;PELI1;CASP1;CCR6;NFKBIB;BIRC3
Keratinocyte differentiation	7/57	0.001215122852378832	0.03367235637831179	0	0	4.758280701754386	31.941910553997342	NFKBIA;PRKCD;FOS;TRAF1;RAF1;ETS1;BIRC3
TWEAK signaling pathway	6/42	0.0012181214193704524	0.03367235637831179	0	0	5.658785755983654	37.9729729995562	NFKBIA;TRAF1;RAF1;RELB;NFKB2;NFKBIB
Interferon-beta enhancer pathway	5/30	0.0015396732034166493	0.04109334687739609	0	0	6.782517482517482	43.924838597345854	ATF2;CREBBP;POLR2A;GTF2B;IRF1
Interleukin-2 signaling pathway	40/847	0.001612131085439043	0.04159298200432731	0	0	1.718298223874432	11.048998351889352	NFAT5;BTG1;SRC;PTGER2;RGS16;RORA;PTPN22;AHR;ETS1;FYB;TTN;DUSP10;ATXN7;RGS1;CXCR3;CASP1;CCR6;JAK2;SLAMF1;CDK17;DUSP1;CD70;PRKCD;LMTK2;FOS;FRMD4B;ITPKB;PTP4A1;NR4A2;ZEB2;CD40LG;TRIM39;GPR183;IRF1;RAF1;IL7R;LPIN2;SNTB1;ATF4;BIRC3
Interleukin-3 signaling pathway	6/45	0.0017584224590508773	0.04336255684188853	0	0	5.222686245453321	33.12926517763936	CD86;SRC;FOS;JAK2;RAF1;CCR3
CD40/CD40L signaling	5/31	0.0017927672079333758	0.04336255684188853	0	0	6.5213152232383	41.2407643866719	NFKBIA;CD40LG;TNFAIP3;TRAF1;BIRC3
TSH regulation of gene expression	9/97	0.001954432308251637	0.04584032141172022	0	0	3.481414052496799	21.715861537135538	PPP1R15A;NR4A1;RGS2;GADD45B;RGS16;TNFAIP3;AHR;FOS;NFKBIE
Interleukin-12-mediated signaling events	7/65	0.0026261182453853164	0.0597828094684775	0	0	4.1002722323049	24.36483642117161	ATF2;GADD45B;RIPK2;FOS;JAK2;RELB;NFKB2
FoxO family signaling	6/49	0.0027399472959436996	0.06059197734458353	0	0	4.735877489512483	27.940808598944233	RBL2;CREBBP;CSNK1A1;GADD45A;ZFAND5;CSNK1E
Type II interferon signaling (interferon-gamma)	6/50	0.00303911789241808	0.06534103468698872	0	0	4.628005094730138	26.82478746738371	CXCL10;IRF1;PRKCD;CYBB;ISG15;JAK2
Immune system	44/998	0.003535372987393718	0.07395618087142534	0	0	1.5981608001856507	9.021516189887597	EIF4A2;CD86;ATF2;CD274;SRC;SH3KBP1;UBE2D3;DAPP1;TNFAIP3;UBR2;BCL10;TANK;FYB;IGKC;CASP4;CASP1;CCR6;JAK2;KLRG1;CD74;CREBBP;WSB1;RIPK2;IL1R2;PRKCD;CYBB;ISG15;FOS;NFKB2;NFKBIA;CYLD;NR4A1;CD40LG;AIM2;IRF1;PELI1;CD28;ORAI1;RAF1;NFKBIE;IL7R;EIF4G3;BIRC3;NFKBIB
G alpha q pathway	7/70	0.003998292832841367	0.08143891191103204	0	0	3.7738791423001947	20.83893719738531	NFKBIA;RGS2;RGS1;RGS16;PRKCD;ORAI1;NFKB2
Phosphatidylethanolamine biosynthesis	3/12	0.004326021108542374	0.08465563621999987	0	0	11.274099883855982	61.3661328082908	CHKB;CHKA;LPIN2
Kit receptor signaling pathway	6/54	0.004484342487105936	0.08465563621999987	0	0	4.24146234676007	22.934279950605763	GRB7;SRC;FOS;JAK2;RAF1;JUNB
RANKL signaling pathway	6/54	0.004484342487105936	0.08465563621999987	0	0	4.24146234676007	22.934279950605763	NFKBIA;SRC;FOS;TRAF1;RELB;NFKB2
TAK1 activates NF-kappaB by phosphorylation and activation of IKK complex	4/24	0.0046024043846162885	0.08481573794507159	0	0	6.772425828970332	36.443618175261044	NFKBIA;RIPK2;NFKB2;NFKBIB
Prolactin activation of MAPK signaling	7/75	0.0058552919013290915	0.10539525422392365	0	0	3.495485036119711	17.96822423553347	NFKBIA;SRC;IRF1;FOS;JAK2;RAF1;NFKBIB
Selective expression of chemokine receptors during T-cell polarization	4/26	0.006187640119482613	0.10741263440183195	0	0	6.156116135173726	31.305091040285273	CD40LG;CXCR3;CD28;CCR3
Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer	5/41	0.006244920604757672	0.10741263440183195	0	0	4.707410644910645	23.89475452591435	CCNT2;TGIF2;NCOR1;UBE2D3;JUNB
Prolactin regulation of apoptosis	9/118	0.007205737270396672	0.121244361897544	0	0	2.8076301847783953	13.849696404596575	SRRM2;CEBPB;IRF1;CXCR3;AKAP9;MAFF;TRIB1;PHLDA1;AREG
Senescence and autophagy	8/99	0.007878704943374816	0.12924512865737098	0	0	2.9868479499410956	14.467072046743379	UVRAG;ING2;MAP1LC3B;CEBPB;MAP1LC3A;SRC;IRF1;RAF1
Interleukin-1 regulation of extracellular matrix	9/120	0.008015201777201301	0.12924512865737098	0	0	2.7567567567567566	13.305253039611282	NFKBIA;ATF2;RRAD;IL1R2;TNFAIP3;FOS;NFKBIE;RUNX1;BIRC3
