Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Influenza infection	75/142	9.207142721779852E-91	5.708428487503508E-88	0	0	68.34654850746269	14169.282740262135	RPL4;RPL5;RPL30;RPL3;NUP188;RPL32;RPL31;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;IPO5;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;NUP133;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPL37A;RPL27;RPL26;RPL29;RPL28;NUP205;SEH1L;RPL10;RPL12;RPL11;RPL36A;NUP160;RPS15A;NUP85;POLR2B;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL35A;RPL23A;RPS25;RPS28;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23;NUP37
Translation	76/151	8.0848302528505E-90	2.1200641803967E-87	0	0	62.038871473354234	12726.819667849255	RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;EEF1A1;EEF1G;RPL37A;RPL27;RPL26;PABPC1;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;EIF4B;EIF2B5;RPL35A;RPL23A;EIF2S1;RPS25;RPS28;RPS29;RPL27A;EIF3I;RPS20;EIF3F;FAU;RPS21;RPS24;RPS23
Cytoplasmic ribosomal proteins	68/108	1.0258375066435646E-89	2.1200641803967E-87	0	0	101.71406727828746	20841.676599968887	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL35A;RPL23A;RPS25;RPS28;RPS29;RPL27A;EIF3I;RPS20;EIF3F;FAU;RPS21;RPS24;RPS23
Influenza viral RNA transcription and replication	69/125	3.077057486056764E-85	4.769439103387985E-83	0	0	73.88699605609115	14378.096087062051	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;IPO5;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPL37A;RPL27;RPL26;PABPC1;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;POLR2B;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL35A;RPL23A;RPS25;RPS28;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
Protein metabolism	92/442	6.316738433513625E-68	7.832755657556895E-66	0	0	16.704007543611503	2584.6542390079694	RPL4;RPL5;EIF4A1;RPL30;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPS10;RPS13;RPS12;EIF5A;CCT3;CCT2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;EEF1A1;EEF1G;RPL37A;RPL27;VDAC1;RPL26;PABPC1;RPL29;RPL28;SLC25A4;TOMM40;RPL10;RPL12;RPL11;ATP5A1;RPL36A;ATP5B;RPS15A;SAMM50;RPS3;RPL14;RPL13;MLEC;RPS2;RPL15;CCT8;CYC1;RPS27A;RPL18;CCT7;RPL17;EIF4B;CCT5;EIF2B5;RPL35A;RPL23A;EIF2S1;CCT6A;RPS25;RPS28;RPS29;EIF3I;RPL27A;TOMM70A;RPS20;EIF3F;FAU;RPS21;RPS24;RPS23
Cap-dependent translation initiation	44/73	1.0048364133498918E-56	1.0383309604615548E-54	0	0	84.61970724039689	10910.860012658579	RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL10;RPL31;RPLP1;RPL12;RPLP0;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPL6;RPL7;RPL7A;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL15;RPL18;RPL17;EIF4B;RPL21;RPL23;RPL22;RPL35A;RPL23A;EIF2S1;EIF3I;RPL27A;RPL37A;RPL27;PABPC1;RPL26;EIF3F;RPL29;RPL28
Gene expression	108/968	1.533016778980225E-51	1.3578148613824851E-49	0	0	8.202171623045134	959.6918279114458	RPL4;RPL5;EIF4A1;RPL30;RPL3;RPL32;NUP188;RPL31;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS17;LSM11;RPS16;RPS19;TRIM28;RPL18A;RPS18;MYC;RPL36;RPL35;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;GTF3A;RPSA;POLRMT;EEF1A1;KARS;PSME3;GEMIN5;RPL27;RPL26;RPL29;RPL28;NUP205;SEH1L;CSTF2;NUP160;NUP85;PCBP1;EIF2B5;DARS;ESRRB;EIF2S1;RPS25;RPS28;RPS29;RPL27A;RPS20;RPS21;RPS24;FARSB;RPS23;RPLP1;RPLP0;RPS4X;RPL7A;RARS;XPO5;RPLP2;PRMT5;PARP1;NUP133;DIS3;EEF1G;KAT2A;POLR1B;RPL37A;PABPC1;SF3B3;RRN3;RPL10;RPL12;RPL11;SRSF1;RPL36A;PSMA7;RPS15A;POLR2B;RPS3;RPL14;RPL13;RPS2;RPL15;RPS27A;RPL18;RPL17;EIF4B;RPL35A;RPL23A;EIF3I;EIF3F;FAU;NUP37
Disease	90/674	4.818815773467509E-49	3.73458222443732E-47	0	0	9.610880305412081	1069.2502359864866	RPL4;RPL5;RPL30;RPL3;RPL32;NUP188;RPL31;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;IPO5;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;MYC;RPL36;RPL35;RPLP2;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;NUP133;IGFBP4;RPS8;DIS3;RPL23;RPS5;RPL22;RPS6;RPSA;PRKAR1B;PSME3;RPL37A;RPL27;RPL26;RPL29;SLC25A5;RPL28;SLC25A4;STX1A;NUP205;SEH1L;RPL10;RPL12;RPL11;RPL36A;PSMA7;NUP160;RPS15A;NUP85;POLR2B;RPS3;RPL14;RPL13;RPS2;RPL15;IGF2BP2;RPS27A;RPL18;RPL17;AP1M1;NPM1;HMGA1;RPL35A;RPL23A;EIF2S1;RPS25;RPS28;RPS29;RPL27A;RPS20;HDGF;FAU;RPS21;RPS24;RPS23;NUP37
Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	34/57	9.384795744944033E-44	6.465081513183667E-42	0	0	80.18643863663736	7944.443598139497	EIF4A1;RPS15;RPS4X;RPS14;RPS17;RPS16;RPS15A;RPS19;RPS18;RPS3;RPS2;RPS27A;RPS10;RPS13;EIF4B;RPS12;RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;EIF2S1;RPS25;RPS28;RPS29;EIF3I;RPS20;PABPC1;EIF3F;FAU;RPS21;RPS24;RPS23
Translation factors	12/50	1.8403825160401814E-10	1.1410371599449124E-8	0	0	16.133296688195685	361.64200208489217	EEF1B2;EIF5A;EEF1A1;EEF1G;EIF2B5;EIF4A1;CLUH;EIF3I;PABPC1;EIF3F;EIF2S1;EIF4B
