Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon Gamma Response	17/200	4.124462081288809E-7	1.9797417990186284E-5	0	0	4.851577648510489	71.3238194776702	LGALS3BP;EIF2AK2;PSMB8;PSMB10;PML;PSMB9;TAPBP;PSMB2;OAS3;IL2RB;EPSTI1;PSME2;CMPK2;ITGB7;PTPN6;MYD88;LY6E
Interferon Alpha Response	11/97	2.9127741197406364E-6	6.990657887377528E-5	0	0	6.606835240556171	84.2133952677329	LGALS3BP;CNP;EPSTI1;MVB12A;CMPK2;PSME2;EIF2AK2;PARP9;PSMB8;LY6E;PSMB9
PI3K/AKT/mTOR  Signaling	11/105	6.350832055223604E-6	1.0161331288357767E-4	0	0	6.042074749521558	72.30505368814298	ACTR2;GRK2;ARHGDIA;RPS6KA1;CFL1;AKT1;IRAK4;PFN1;HRAS;MYD88;PPP1CA
Allograft Rejection	15/200	9.22151121660548E-6	1.1065813459926576E-4	0	0	4.211446740858506	48.827394024117076	MAP4K1;PRF1;WAS;TAP2;CAPG;THY1;PSMB10;TAPBP;CCND3;ELF4;IL2RB;AKT1;FLNA;CSK;PTPN6
Apical Junction	12/200	5.705477706110603E-4	0.005477258597866179	0	0	3.288503865906654	24.561551436908932	VASP;CAP1;CNN2;ITGB1;RAC2;ZYX;THY1;PFN1;HRAS;ACTB;GNAI2;YWHAH
UV Response Up	10/158	0.0010780339659992953	0.008624271727994362	0	0	3.4698352706268274	23.708053023693182	CCND3;CNP;PSMC3;AP2S1;RAB27A;WIZ;ARRB2;BAK1;PRKACA;MARK2
Hedgehog Signaling	4/36	0.005077405651240495	0.025914689677527407	0	0	6.3568181818181815	33.58278342143051	CDK6;THY1;CELSR1;PML
G2-M Checkpoint	10/200	0.005938783051100031	0.025914689677527407	0	0	2.69698652964866	13.825430002879878	SMARCC1;SNRPD1;RAD21;NUP50;E2F2;E2F4;LBR;CDC25A;PML;CDC25B
Adipogenesis	10/200	0.005938783051100031	0.025914689677527407	0	0	2.69698652964866	13.825430002879878	ACAA2;NDUFB7;REEP5;MDH2;UCP2;AK2;TALDO1;ESYT1;SDHB;AGPAT3
E2F Targets	10/200	0.005938783051100031	0.025914689677527407	0	0	2.69698652964866	13.825430002879878	SLBP;RAD21;RPA1;AK2;HMGB2;DEK;CNOT9;LBR;CDC25A;CDC25B
