Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TNF-alpha Signaling via NF-kB	40/200	1.9060055165814355E-22	8.386424272958316E-21	0	0	8.967877094972067	448.5002348124343	PPP1R15A;NFAT5;CEBPB;BTG1;CD83;TNFAIP3;AREG;TANK;SAT1;RELB;DNAJB4;ZC3H12A;CCNL1;JUNB;IER5;PHLDA1;GADD45B;GADD45A;DUSP1;RIPK2;FOS;TRAF1;ATP2B1;KLF4;NFKB2;NFKBIA;NR4A2;PER1;NR4A1;CXCL10;GPR183;IRF1;MAFF;FOSB;SIK1;TRIB1;NFKBIE;IL7R;ATF3;BIRC3
IL-2/STAT5 Signaling	23/199	1.6789579899418003E-8	3.693707577871961E-7	0	0	4.540131686905153	81.27974106300107	CD86;RABGAP1L;CD83;GADD45B;IL1R2;PTGER2;GPR65;SWAP70;RGS16;RORA;AHR;TRAF1;DHRS3;CXCL10;IL1RL1;NT5E;ARL4A;PLAGL1;PENK;MAFF;NFKBIZ;PHLDA1;CDC42SE2
p53 Pathway	21/200	3.6209537477015856E-7	5.310732163295658E-6	0	0	4.06056830513243	60.223743003022136	TSPYL2;HEXIM1;PPP1R15A;BTG1;SLC35D1;RRAD;GADD45A;RGS16;HSPA4L;OSGIN1;FOS;KLF4;SAT1;CDKN2AIP;DDB2;ZFP36L1;DDIT3;KIF13B;CASP1;IER5;ATF3
Inflammatory Response	19/200	5.757169112147085E-6	6.332886023361794E-5	0	0	3.6198538584922475	43.673770926367176	GABBR1;FZD5;RIPK2;CD70;PTGER2;RGS16;CYBB;AHR;ATP2B1;NFKBIA;CXCL10;RGS1;GPR183;IRF1;ITGB8;SLC28A2;RAF1;IL7R;SLAMF1
Interferon Gamma Response	17/200	7.301678083359974E-5	6.425476713356778E-4	0	0	3.191647150663544	30.399868663145327	CD86;CD74;CD274;BTG1;RIPK2;TNFAIP3;ISG15;HELZ2;NFKBIA;CXCL10;ARL4A;IRF1;CASP4;PELI1;CASP1;TRIM26;JAK2
UV Response Up	13/158	6.833150105984881E-4	0.005010976744388913	0	0	3.064490095377843	22.33570334643978	BTG1;CHKA;RRAD;PRKCD;FOS;NFKBIA;DNAJA1;NR4A1;NXF1;IRF1;FOSB;JUNB;ATF3
Apoptosis	13/161	8.14922635999532E-4	0.0051223708548542015	0	0	3.0019048303622773	21.350800071713024	CREBBP;GADD45B;GADD45A;BCL10;SAT1;DNAJA1;CYLD;DDIT3;IRF1;CASP4;CASP1;ATF3;BIRC3
Interferon Alpha Response	9/97	0.001954432308251637	0.010101527632426983	0	0	3.481414052496799	21.715861537135538	HELZ2;CXCL10;CD74;RIPK2;IRF1;CASP1;TRIM26;ISG15;TMEM140
Complement	14/200	0.0020662215611782463	0.010101527632426983	0	0	2.5718405622720066	15.899204956058199	CPM;CEBPB;SRC;PRKCD;TNFAIP3;DOCK10;CD40LG;IRF1;MAFF;CASP4;CASP1;JAK2;RAF1;HSPA1A
Unfolded Protein Response	9/113	0.005454989668699187	0.02013970246943516	0	0	2.943374187432286	15.338583836017506	EIF4A2;TSPYL2;CEBPB;BAG3;FUS;DNAJA4;DNAJB9;ATF3;ATF4
Estrogen Response Early	13/200	0.005492646128027771	0.02013970246943516	0	0	2.3710319717829105	12.339668740584996	SLC26A2;TGIF2;MAST4;SIAH2;DYNLT3;FOS;KLF4;AREG;IL17RB;DHRS3;TBC1D30;JAK2;GLA
KRAS Signaling Up	13/200	0.005492646128027771	0.02013970246943516	0	0	2.3710319717829105	12.339668740584996	PPP1R15A;RABGAP1L;RGS16;TNFAIP3;TRAF1;KLF4;ETS1;PTBP2;CXCL10;CCSER2;TRIB1;IL7R;BIRC3
Hypoxia	12/200	0.013559326700949361	0.04589310575705938	0	0	2.1730370928262097	9.345538579077239	PPP1R15A;WSB1;BTG1;DUSP1;DDIT3;SIAH2;MAFF;TNFAIP3;RORA;FOS;ETS1;ATF3
Estrogen Response Late	11/200	0.030965025908173162	0.0908307426639746	0	0	1.9778076915886103	6.87267783192267	SLC26A2;DNAJC1;SIAH2;DYNLT3;HSPA4L;FOS;JAK2;KLF4;AREG;GLA;IL17RB
Allograft Rejection	11/200	0.030965025908173162	0.0908307426639746	0	0	1.9778076915886103	6.87267783192267	CD86;CD74;CD40LG;RIPK2;CXCR3;GPR65;CD28;BCL10;JAK2;ETS1;EIF4G3
