Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T cell receptor signaling in naive CD4+ T cells	13/67	4.582624949781842E-10	4.2068497038997313E-7	0	0	12.521719858156029	269.2617917205738	MAP4K1;DBNL;STK39;WAS;SLA2;VAV1;CDC42;SH3BP2;AKT1;FLNA;CSK;PTPN6;HRAS
Mitotic G1-G1/S phases	17/135	1.1487083780470517E-9	5.272571455235967E-7	0	0	7.549229998177511	155.3980887476947	CDKN2D;CDT1;RPA1;CDC25A;PSMB10;PSMB8;PSMB9;CCND3;PSMB4;CDK6;PSMB2;PSMC3;PSMC1;PSMD3;PSME2;E2F2;E2F4
Apoptosis	22/242	2.336198829741476E-9	7.148768419008917E-7	0	0	5.283651226158038	105.0111978584743	DBNL;PRF1;HMGB2;PIK3CD;IRAK4;PSMB8;PSMB10;PSMB9;PSMB4;PPP3CC;PSMB2;PSMC3;PSMC1;PSMD3;CAPN2;AKT1;PSME2;CAPN1;BAK1;PRKACA;MYD88;PLEC
Integrin signaling pathway	17/155	9.718276718526886E-9	2.23034450690192E-6	0	0	6.448515661524077	118.97032610328633	VASP;ITGB1;ARPC1B;WAS;ARPC4;ARPC5;ACTB;CDC42;CAPNS1;CAPN2;RAC2;ZYX;AKT1;CSK;CAPN1;TLN1;HRAS
Actin cytoskeleton regulation	20/226	1.989433849815327E-8	3.65260054826094E-6	0	0	5.105638435025127	90.5374216940876	CYFIP2;ITGB1;ARPC1B;LIMK2;WAS;PIK3CD;ARPC4;ARPC5;ACTB;VAV1;PPP1CA;CDC42;CFL1;RAC2;PIP4K2B;NCKAP1L;ITGB7;CSK;PFN1;HRAS
Interleukin-2 signaling pathway	42/847	2.8277146781266284E-8	4.326403457533742E-6	0	0	2.8276155870191704	49.147385669249736	ACAA2;RGS19;CTSZ;PRF1;PIK3CD;LRMP;ARRB2;SLA2;ACTB;SPN;SLC9A3R1;CHSY1;ARHGDIA;UCP2;FLOT1;AKT1;E2F2;ITGB7;E2F4;CDIPT;CTSD;HRAS;RBM38;CD52;DAXX;LIMK2;LAPTM5;EMP3;DUSP7;CDC25B;MOB3A;GADD45G;TPST2;DOK2;FMNL1;IL2RB;PTPN6;TRIM37;PTPN7;ESYT1;LY6E;B4GALT5
Antigen processing: cross presentation	12/79	3.9207719844779875E-8	5.141812402501132E-6	0	0	9.28492814442377	158.34880588912884	PSMB4;PSMB2;PSMC3;PSMC1;PSMD3;TAP2;PSME2;CYBA;PSMB10;PSMB8;TAPBP;PSMB9
Immune system	46/998	5.2876420240258465E-8	6.067569222569659E-6	0	0	2.6285432540363085	44.042052705366615	ITGB1;PRKCSH;TRAC;WAS;PIK3CD;KEAP1;PSMB10;PYCARD;CDC42;PSMB4;PSMB2;PSMD3;RPS6KA1;AP2S1;AP1S1;AKT1;ITGB7;CSK;PRKACA;CTSD;HRAS;CTSA;VASP;NUP210;DTX3L;TAP2;EIF2AK2;CYBA;IRAK4;PSMB8;DDOST;PML;VAV1;DUSP7;PSMB9;TAPBP;SIGIRR;PSMC3;PSMC1;OAS3;NUP50;IL2RB;PSME2;PTPN6;TRIM37;MYD88
Integrin-mediated cell adhesion	13/100	7.195696073825788E-8	7.3396099953023035E-6	0	0	7.758987527512839	127.61360153897911	VASP;ITGB1;CDC42;CAPNS1;CAPN2;RAC2;ZYX;AKT1;ITGB7;CSK;CAPN1;TLN1;HRAS
DNA replication pre-Initiation	12/88	1.343554581438608E-7	1.1089287586234756E-5	0	0	8.181627809576993	129.4560713167412	CDT1;PSMB4;PSMB2;PSMC3;PSMC1;PSMD3;RPA1;PSME2;E2F2;PSMB10;PSMB8;PSMB9
Cyclin A-Cdk2-associated events at S phase entry	11/72	1.3663028931368805E-7	1.1089287586234756E-5	0	0	9.326481047792523	147.41423984888155	PSMB4;PSMB2;PSMC3;PSMC1;PSMD3;PSME2;CDC25A;PSMB10;PSMB8;CDC25B;PSMB9
ERBB1 downstream pathway	13/106	1.4495800766319942E-7	1.1089287586234756E-5	0	0	7.256177076183939	114.26172692377344	CYFIP2;ACTR2;ARPC1B;PIK3CD;ARPC4;ARPC5;RPS6KA4;CDC42;CAPN2;AKT1;CALM3;HRAS;YWHAH
Focal adhesion	19/233	1.6495888345889594E-7	1.1648635001174343E-5	0	0	4.654496084869916	72.69191648976364	VASP;ITGB1;PIK3CD;ACTB;VAV1;PPP1CA;CDC42;MYL6;CCND3;PARVG;RAC2;ZYX;CAPN2;AKT1;FLNA;ITGB7;CAPN1;TLN1;HRAS
Licensing factor removal from origins	10/61	2.5734667754812426E-7	1.6141321015584354E-5	0	0	10.119509545242899	153.54171662591284	CDT1;PSMB4;PSMB2;PSMC3;PSMC1;PSMD3;PSME2;PSMB10;PSMB8;PSMB9
S phase	13/112	2.786003346629325E-7	1.6141321015584354E-5	0	0	6.81431334622824	102.8517538191631	CDT1;RPA1;CDC25A;PSMB10;PSMB8;CDC25B;PSMB9;PSMB4;PSMB2;PSMC3;PSMC1;PSMD3;PSME2
Fc gamma receptor-mediated phagocytosis	12/94	2.81330213779248E-7	1.6141321015584354E-5	0	0	7.580643074335253	114.34442429809566	CDC42;VASP;ARPC1B;LIMK2;CFL1;RAC2;WAS;PIK3CD;AKT1;ARPC4;ARPC5;VAV1
Apoptosis regulation	11/78	3.1681994820946164E-7	1.7089376856152565E-5	0	0	8.488667772249862	127.0323377747407	PSMB4;PSMB2;PSMC3;PSMC1;PSMD3;POMP;PSME2;CDC25A;PSMB10;PSMB8;PSMB9
Proteasome degradation	10/63	3.5233754659464745E-7	1.7089376856152565E-5	0	0	9.736645591676208	144.67366394218178	PSMB4;RPN2;PSMB2;PSMC3;PSMC1;PSMD3;PSME2;PSMB10;PSMB8;PSMB9
