Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IL-2/STAT5 Signaling	31/199	9.261038973759958E-15	2.6155180178840433E-13	0	0	6.670553024211561	215.54531406552937	CYFIP1;AHNAK;CSF1;FGL2;CST7;SYNGR2;NFIL3;CASP3;TNFSF11;ICOS;TNFRSF4;IL10;GABARAPL1;PRKCH;ANXA4;TNFRSF9;TNFRSF18;APLP1;TNFRSF1B;BATF;TTC39B;ADAM19;MYO1E;PLSCR1;MAPKAPK2;BHLHE40;PLIN2;CD44;IL18R1;F2RL2;BCL2L1
Allograft Rejection	31/200	1.0675583746465482E-14	2.6155180178840433E-13	0	0	6.630738146252651	213.3162644976977	CSF1;CD80;CD3G;CD3E;ITGAL;IL2RG;HIF1A;ICAM1;IL27RA;IL18RAP;CCL5;CCL4;CCR5;IL12RB1;B2M;CCR2;LYN;CCR1;IL10;SRGN;TGFB1;CDKN2A;F2R;MMP9;CD2;ZAP70;CD4;IFNG;BCL3;HCLS1;LCP2
Inflammatory Response	24/200	2.479515301302784E-9	4.0498749921278807E-8	0	0	4.863636363636363	96.37394059371205	LYN;IL10;CSF1;CD82;IL1R1;TNFRSF9;EBI3;HPN;ATP2A2;CXCR6;PSEN1;TNFRSF1B;HIF1A;ICAM1;GNA15;IL18RAP;AXL;CCL5;CCRL2;TNFSF9;NMUR1;LCP2;CHST2;IL18R1
IL-6/JAK/STAT3 Signaling	14/87	1.397470412574714E-7	1.7119012554040246E-6	0	0	6.75173100871731	106.56548656171792	CCR1;TGFB1;CSF1;IL1R1;EBI3;PTPN11;TYK2;TNFRSF1B;IL2RG;GRB2;IL12RB1;CD44;IL18R1;CRLF2
p53 Pathway	21/200	2.491312061183431E-7	2.4414858199597626E-6	0	0	4.160591376277045	63.26298241728077	PLK3;CDKN2B;NOTCH1;TGFB1;CD82;ABHD4;APAF1;CDKN2A;VDR;F2R;RNF19B;TRAFD1;SEC61A1;MAPKAPK3;PERP;MKNK2;MDM2;TNFSF9;BAX;S100A4;S100A10
Complement	20/200	1.0453499560544654E-6	8.537024641111468E-6	0	0	3.933006535947712	54.16205773486248	LYN;PRDM4;PLEK;GATA3;PSEN1;EHD1;LGALS3;PLSCR1;CASP7;PPP4C;GNG2;CSRP1;CASP3;CCL5;S100A13;TIMP2;GRB2;LCP2;FYN;CTSB
TNF-alpha Signaling via NF-kB	19/200	4.153921980211828E-6	2.90774538614828E-5	0	0	3.708702924628719	45.956235095430266	MAP2K3;CSF1;CD80;TNFRSF9;PLEK;RNF19B;LITAF;SLC2A6;ICAM1;EHD1;NFIL3;ID2;CCL5;CCRL2;BHLHE40;BCL3;CCL4;TNFSF9;CD44
Apoptosis	15/161	5.2817196029798554E-5	3.2350532568251614E-4	0	0	3.6099258926566358	35.552982334745565	ANXA1;F2R;PSEN2;NEDD9;PSEN1;ISG20;CD2;LGALS3;CASP7;GNA15;CASP3;TIMP2;BAX;CD44;BCL2L1
Mitotic Spindle	16/199	1.7355483172196872E-4	9.44909639375163E-4	0	0	3.0717562123569064	26.598389187474726	FARP1;PXN;NEDD9;KATNB1;CSNK1D;MYO9B;PREX1;ABR;CLIP2;MYO1E;CTTN;NCK2;MYH9;FLNB;MAPRE1;ARF6
Interferon Gamma Response	15/200	5.739395768560612E-4	0.0028123039265946998	0	0	2.843154630039876	21.218424433714734	OGFR;MVP;FGL2;TRAFD1;HIF1A;ICAM1;ISG20;PLSCR1;CASP7;CASP3;CCL5;SLAMF7;LCP2;IRF5;B2M
