Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon Gamma Response	31/200	1.0740694418365925E-27	2.8999874929587995E-26	0	0	20.689859212405633	1284.80597108963	RTP4;RNF31;ADAR;NOD1;IFIT1;DDX60;USP18;IFIT3;IFIT2;IFIH1;RNF213;DHX58;TRIM21;GBP4;HERC6;GBP6;ZBP1;RSAD2;DDX58;STAT2;MX2;MX1;NMI;PARP14;ZNFX1;OAS2;IRF2;IRF7;XAF1;VAMP5;IRF9
Interferon Alpha Response	20/97	8.726343193383715E-21	1.1780563311068015E-19	0	0	27.684099684099685	1278.6715503609398	RTP4;RNF31;RSAD2;STAT2;MX1;ADAR;NMI;DDX60;PARP14;USP18;IFIT3;IFIT2;IFIH1;DHX58;IRF2;IRF7;TRIM21;IRF9;GBP4;HERC6
Notch Signaling	2/32	0.042405086860262356	0.3739507664096348	0	0	6.490968801313629	20.51462219473814	DTX1;PRKCA
Inflammatory Response	5/200	0.055400113542168124	0.3739507664096348	0	0	2.5128205128205128	7.270026059022339	PTGER4;RTP4;IRF7;KIF1B;NMI
Reactive Oxygen Species Pathway	2/49	0.08991105485035635	0.42038376367365354	0	0	4.139608007546379	9.972044035699671	LSP1;IPCEF1
PI3K/AKT/mTOR  Signaling	3/105	0.09341861414970079	0.42038376367365354	0	0	2.867355853232382	6.797539185000448	STAT2;ITPR2;NOD1
Mitotic Spindle	4/199	0.14830824583339697	0.45061299246054276	0	0	2.000255134583493	3.8174117727689727	PLEKHG2;KIF3B;KIF1B;ARHGAP5
IL-2/STAT5 Signaling	4/199	0.14830824583339697	0.45061299246054276	0	0	2.000255134583493	3.8174117727689727	NRP1;SYT11;LCLAT1;GBP4
TNF-alpha Signaling via NF-kB	4/200	0.15020433082018092	0.45061299246054276	0	0	1.9899482180932073	3.7724616596919143	IFIH1;PTGER4;DDX58;IFIT2
UV Response Dn	3/144	0.18399201676382584	0.49677844526232984	0	0	2.070149568148304	3.5044794209684715	NRP1;PRKCA;SYNE1
IL-6/JAK/STAT3 Signaling	2/87	0.2241960693981478	0.5502994430681809	0	0	2.2845552013909014	3.4159452977609934	STAT2;IRF9
Hedgehog Signaling	1/36	0.3101147516085681	0.644084484110103	0	0	2.7675070028011204	3.24023285410695	NRP1
Angiogenesis	1/36	0.3101147516085681	0.644084484110103	0	0	2.7675070028011204	3.24023285410695	NRP1
KRAS Signaling Dn	3/200	0.33697321837053973	0.6498769211431837	0	0	1.4774589134040308	1.6071086257215987	RSAD2;MX1;SIDT1
TGF-beta Signaling	1/54	0.4271305664543781	0.7688350196178806	0	0	1.825934147243803	1.5532592505292342	ARID4B
Hypoxia	2/200	0.6101706085303744	0.8086623157728087	0	0	0.9751206647758371	0.4817258683455006	EXT1;PRKCA
Myogenesis	2/200	0.6101706085303744	0.8086623157728087	0	0	0.9751206647758371	0.4817258683455006	ABLIM1;LSP1
Complement	2/200	0.6101706085303744	0.8086623157728087	0	0	0.9751206647758371	0.4817258683455006	IRF2;IRF7
Allograft Rejection	2/200	0.6101706085303744	0.8086623157728087	0	0	0.9751206647758371	0.4817258683455006	ITGB2;IRF7
KRAS Signaling Up	2/200	0.6101706085303744	0.8086623157728087	0	0	0.9751206647758371	0.4817258683455006	NRP1;ITGB2
Protein Secretion	1/96	0.6289595789344067	0.8086623157728087	0	0	1.0165118679050567	0.4713446465123432	KIF1B
Unfolded Protein Response	1/113	0.6888602334984397	0.8454193774753579	0	0	0.8614758403361344	0.32108658971840104	IFIT1
G2-M Checkpoint	1/200	0.8739329998369425	0.8739329998369425	0	0	0.4827076559266923	0.06504561231038901	ARID4A
Estrogen Response Early	1/200	0.8739329998369425	0.8739329998369425	0	0	0.4827076559266923	0.06504561231038901	ABLIM1
Apical Junction	1/200	0.8739329998369425	0.8739329998369425	0	0	0.4827076559266923	0.06504561231038901	PKD1
mTORC1 Signaling	1/200	0.8739329998369425	0.8739329998369425	0	0	0.4827076559266923	0.06504561231038901	ITGB2
Glycolysis	1/200	0.8739329998369425	0.8739329998369425	0	0	0.4827076559266923	0.06504561231038901	EXT1
